Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9762,2049 November 9,15:52:11,N,18N,118E
9763,2050 May 6,22:32:02,T,17S,21E
9764,2050 October 30,3:21:47,T,14N,54W
9765,2051 April 26,2:16:28,T,13S,34W
9766,2051 October 19,19:11:50,T-,10N,69E
9767,2052 April 14,2:18:06,N,9S,34W
9768,2052 October 8,10:45:58,P,5N,164W
9769,2053 March 4,17:22:10,N,5N,102E
9770,2053 August 29,8:05:50,Nx,8S,121W
9771,2054 February 22,6:51:27,T,10N,99W
9772,2054 August 18,9:26:30,T,13S,140W
9773,2055 February 11,22:46:17,T,14N,22E
9774,2055 August 7,10:53:18,P,17S,161W
9775,2056 February 1,12:26:06,N,18N,177E
9776,2056 June 27,10:03:09,N,22S,149W
9777,2056 July 26,18:43:24,N,20S,81E
9778,2056 December 22,1:48:56,N,22N,27W
9779,2057 June 17,2:26:20,P,23S,36W
9780,2057 December 11,0:53:38,P,23N,15W
9781,2058 June 6,19:15:48,T-,23S,71E
9782,2058 November 30,3:16:18,T+,22N,52W
9783,2059 May 27,7:55:35,P,22S,119W
9784,2059 November 19,13:01:36,P,20N,161E
9785,2060 April 15,21:37:04,N,9S,37E
9786,2060 October 9,18:53:32,N,6N,74E
9787,2060 November 8,4:04:15,N,18N,65W
9788,2061 April 4,21:54:05,T,6S,33E
9789,2061 September 29,9:38:13,T,2N,146W
9790,2062 March 25,3:33:50,T,2S,52W
9791,2062 September 18,18:34:02,T,1S,80E
9792,2063 March 14,16:05:49,P,1N,121E
9793,2063 September 7,20:41:12,N,5S,49E
9794,2064 February 2,21:48:57,P,18N,37E
9795,2064 July 28,7:52:48,P,20S,116W
9796,2065 January 22,9:58:58,T,20N,146W
9797,2065 July 17,17:48:40,T-,21S,95E
9798,2066 January 11,15:04:47,T,21N,136E
9799,2066 July 7,9:30:29,P,22S,141W
9800,2066 December 31,14:30:10,N,22N,144E
9801,2067 May 28,18:56:08,N,23S,76E
9802,2067 June 27,2:41:06,N,22S,39W
9803,2067 November 21,0:04:42,N,21N,4W
9804,2068 May 17,5:42:17,P,20S,86W
9805,2068 November 9,11:47:00,T,18N,180E
9806,2069 May 6,9:09:57,T+,17S,138W
9807,2069 October 30,3:35:06,T-,14N,57W
9808,2070 April 25,9:21:24,Nx,12S,140W
